date,road,RPT,home,HPT
2017-3-21,Memphis Grizzlies,82,New Orleans Pelicans,95
2017-3-21,Milwaukee Bucks,93,Portland Trail Blazers,90
2017-3-21,Chicago Bulls,120,Toronto Raptors,122
2017-3-22,Indiana Pacers,100,Boston Celtics,109
2017-3-22,Detroit Pistons,95,Chicago Bulls,117
2017-3-22,Cleveland Cavaliers,113,Denver Nuggets,126
2017-3-22,Philadelphia 76ers,97,Oklahoma City Thunder,122
2017-3-22,Charlotte Hornets,109,Orlando Magic,102
2017-3-22,Milwaukee Bucks,116,Sacramento Kings,98
2017-3-22,New York Knicks,101,Utah Jazz,108
2017-3-22,Atlanta Hawks,100,Washington Wizards,104
2017-3-23,Phoenix Suns,98,Brooklyn Nets,126
2017-3-23,Los Angeles Clippers,95,Dallas Mavericks,97
2017-3-23,Toronto Raptors,101,Miami Heat,84
2017-3-23,New York Knicks,95,Portland Trail Blazers,110
2017-3-23,Memphis Grizzlies,90,San Antonio Spurs,97
2017-3-24,Phoenix Suns,120,Boston Celtics,130
2017-3-24,Philadelphia 76ers,117,Chicago Bulls,107
2017-3-24,Cleveland Cavaliers,112,Charlotte Hornets,105
2017-3-24,Sacramento Kings,100,Golden State Warriors,114
2017-3-24,New Orleans Pelicans,107,Houston Rockets,117
2017-3-24,Denver Nuggets,125,Indiana Pacers,117
2017-3-24,Minnesota Timberwolves,119,Los Angeles Lakers,130
2017-3-24,Atlanta Hawks,97,Milwaukee Bucks,100
2017-3-24,Detroit Pistons,87,Orlando Magic,115
2017-3-24,Brooklyn Nets,108,Washington Wizards,129
2017-3-25,Washington Wizards,127,Cleveland Cavaliers,115
2017-3-25,Toronto Raptors,94,Dallas Mavericks,86
2017-3-25,Utah Jazz,95,Los Angeles Clippers,108
2017-3-25,Minnesota Timberwolves,100,Portland Trail Blazers,112
2017-3-25,New York Knicks,98,San Antonio Spurs,106
2017-3-26,Brooklyn Nets,107,Atlanta Hawks,92
2017-3-26,Miami Heat,108,Boston Celtics,112
2017-3-26,Phoenix Suns,106,Charlotte Hornets,120
2017-3-26,New Orleans Pelicans,115,Denver Nuggets,90
2017-3-26,Memphis Grizzlies,94,Golden State Warriors,106
2017-3-26,Oklahoma City Thunder,125,Houston Rockets,137
2017-3-26,Philadelphia 76ers,94,Indiana Pacers,107
2017-3-26,Sacramento Kings,98,Los Angeles Clippers,97
2017-3-26,Portland Trail Blazers,97,Los Angeles Lakers,81
2017-3-26,Chicago Bulls,109,Milwaukee Bucks,94
2017-3-27,Oklahoma City Thunder,92,Dallas Mavericks,91
2017-3-27,Detroit Pistons,95,New York Knicks,109
2017-3-27,Memphis Grizzlies,90,Sacramento Kings,91
2017-3-27,Cleveland Cavaliers,74,San Antonio Spurs,103
2017-3-27,Orlando Magic,112,Toronto Raptors,131
2017-3-27,New Orleans Pelicans,100,Utah Jazz,108
2017-3-28,Phoenix Suns,91,Atlanta Hawks,95
2017-3-28,Philadelphia 76ers,106,Brooklyn Nets,101
2017-3-28,Milwaukee Bucks,118,Charlotte Hornets,108
2017-3-28,Miami Heat,97,Detroit Pistons,96
2017-3-28,Golden State Warriors,113,Houston Rockets,106
2017-3-28,Minnesota Timberwolves,115,Indiana Pacers,114
2017-3-28,Washington Wizards,119,Los Angeles Lakers,108
2017-3-28,Denver Nuggets,113,Portland Trail Blazers,122
2017-3-29,Milwaukee Bucks,103,Boston Celtics,100
2017-3-29,Washington Wizards,124,Los Angeles Clippers,133
2017-3-29,Indiana Pacers,97,Memphis Grizzlies,110
2017-3-29,Dallas Mavericks,118,New Orleans Pelicans,121
2017-3-29,Miami Heat,105,New York Knicks,88
2017-3-29,Oklahoma City Thunder,114,Orlando Magic,106
2017-3-29,Atlanta Hawks,99,Philadelphia 76ers,92
2017-3-29,Utah Jazz,112,Sacramento Kings,82
2017-3-29,Golden State Warriors,110,San Antonio Spurs,98
2017-3-29,Charlotte Hornets,110,Toronto Raptors,106
2017-3-30,Cleveland Cavaliers,93,Chicago Bulls,99
2017-3-30,Brooklyn Nets,89,Detroit Pistons,90
2017-3-30,Los Angeles Lakers,104,Minnesota Timberwolves,119
2017-3-30,Los Angeles Clippers,124,Phoenix Suns,118
2017-3-30,Houston Rockets,107,Portland Trail Blazers,117
2017-3-31,Orlando Magic,116,Boston Celtics,117
2017-3-31,Denver Nuggets,114,Charlotte Hornets,122
2017-3-31,Philadelphia 76ers,105,Cleveland Cavaliers,122
2017-3-31,Houston Rockets,98,Golden State Warriors,107
2017-3-31,Dallas Mavericks,90,Memphis Grizzlies,99
2017-3-31,New York Knicks,98,Miami Heat,94
2017-3-31,Detroit Pistons,105,Milwaukee Bucks,108
2017-3-31,Sacramento Kings,89,New Orleans Pelicans,117
2017-3-31,San Antonio Spurs,100,Oklahoma City Thunder,95
2017-3-31,Indiana Pacers,100,Toronto Raptors,111
2017-3-31,Washington Wizards,88,Utah Jazz,95
